Price,Beds,Baths,Sqft,Neighborhood,Latitude,Longitude,Address,Amenities,URL
"$2,875",0,1,N/A,nob hill,37.794110,-122.414648,"1401 Jones, San Francisco, CA, 94109","Income: 2.5x Rent, Renter's Insurance is Required, Brick and Timber Please Enjoy A 3D Virtual Tour Available Here, Lease: 1 Year, Pets: No Pet Rent!, Application Fee: Yes, San Francisco, CA, Utilities: None Included, No Pet Deposit (2 pet max), Breed Restrictions Apply, PROMOTIONS, $1000 With Approved Credit (Ask for Details) LEASE TERMS:, person tour! Please included the address and unit number in your message., * SECURITY DEPOSIT, Proof of Income: Offer Letter, Pay Stubs, Investment Statements, Savings, Managed by Brick and Timber",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-1401-jones-private-studio/7919618179.html
"$7,545",2,1,N/A,north beach / telegraph hill,37.799618,-122.412388,"1753 MASON #1767, San Francisco, CA, 94109","Lease Duration: 12 months. Community Amenities Maintenance Support Service, in closet., Sunlit living room with large windows, Unit Washer/Dryer (In Select Units) Location Highlights:, Resident Support Service, Pet Friendly, In, Shiny countertops and multiple cupboards., Online Payment Portal, Stunning unit with a walk, Gated Entry, in shower., Bathroom with a bathtub and walk, Beautiful flooring throughout the unit. Lease Terms:, Storage Apartment Amenities Dishwasher (In Select Units)",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-large-bed-apt-north-beach/7919618145.html
"$5,295",2,1,N/A,pacific heights,37.790760,-122.426709,"2055 SACRAMENTO #402, San Francisco, CA, 94109","style countertops, sleek cabinetry, and a glossy tile backsplash in a clean, efficient layout., Walk In Closet (In Select Units), Modern galley kitchen featuring stainless steel appliances, quartz, Pet Friendly, Maintenance Support Service, In, Bathroom with a bathtub and walk, Lovely countertops and multiple cupboards., 2 bedroom apt., Elevator, Lease Duration: 12 months. Location:, in shower., Storage Apartment Amenities Dishwasher (In Select Units), Views (In Select Units), Resident Support Service, Bike Storage, Courtyard, Online Payment Portal, Warm and inviting living space with plush carpet. Lease Terms:",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-2be-1ba-across-from/7919618121.html
"$3,175",0,1,N/A,lower nob hill,37.791929,-122.407471,"655 STOCKTON #204, San Francisco, CA, 94108",,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-studio-apt-lower-nob-hill/7919618011.html
"$5,245",2,1,N/A,marina / cow hollow,37.796999,-122.447079,"2844 LYON #503, San Francisco, CA, 94123","month lease, then month, controlled building, month, Rent, 12, to",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-marina-2be-1ba-2844-lyon/7919617969.html
"$1,745",0,1,N/A,tenderloin,37.786550,-122.414572,"685 GEARY #202, San Francisco, CA, 94108",,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-studio-downtown-685-geary/7919617931.html
"$5,245",2,2,N/A,inner sunset / UCSF,37.763669,-122.478202,"1290 20th ave #502, San Francisco, CA, 94122",,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-2be-2ba-th-ave-inner/7919617891.html
"$4,379",2,1,787,Mid-Market,37.775272,-122.415908,"1401 Mission Street, San Francisco, CA, 94142","6:00PM Saturday: 10:00AM, 5:00PM Olume 1401 Mission Street, San Francisco, CA, 94103 Equal Housing Opportunity lPcJq4QNi, Friday: 9:00AM",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-stainless-steel/7919616888.html
$200,2,2,946,bayview,37.724869,-122.394519,"5880 3rd St., San Francisco, CA, 94124","Saturday: 9:00AM, of, and, licenses Equal Housing Opportunity x2DOz1B2h",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-hard-surface-plank-and/7919616114.html
"$5,300",2,2,267,ingleside / SFSU / CCSF,37.728009,-122.456497,"1418 Plymouth Ave., San Francisco, CA, 94127",,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-westwood-park-remodeled/7919615360.html
"$1,740",2,1,N/A,city of san francisco,37.765659,-122.431281,"2256 Market St APT C, San Francisco, CA, 94117",,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-spacious-two-bedroom/7919614801.html
"$1,210",0,1,N/A,city of san francisco,37.803917,-122.441940,"2000 Beach St APT 304, San Francisco, CA, 94123",,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-best-studio-apartment-for/7919614291.html
"$2,739",1,1,N/A,alamo square / nopa,37.530800,-121.971200,"40777 High S, Fremont, CA, 94537","to, date information!",https://sfbay.craigslist.org/sfc/apa/d/fremont-spacious-and-has-carpet-in/7917729119.html
"$2,650",0,1,N/A,nob hill,37.789046,-122.417541,"1240 Bush Street, San Francisco, CA, 94108","40 pounds or less and no aggressive breeds ●Pet rent, $75 dog & $50 cat ●Pet Deposit",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-studio-near-shuttle-stops/7919609138.html
"$3,575",1,2,N/A,haight ashbury,37.769798,-122.448579,"Clayton, San Francisco, CA, 94117",,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-one-bed-with-office/7918051157.html
"$4,750",1,1,N/A,SOMA / south beach,37.786400,-122.389200,"San Francisco, CA, 94105","5 pm., in closet. 24, scale dining. Convenient to MUNI, Caltrain & freeways, 4 pm. 3/8 3, water front & partial bay bridge views. Gourmet kitchen, his and hers vanities, grand master bedroom, large walk",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-luxury-one-bedroom-condo/7919608375.html
"$4,150",0,1,N/A,pacific heights,37.795376,-122.426231,"1770 Broadway Street, San Francisco, CA, 94109","Elevator service, Card Key Access, Central Laundry Facility, On Site Manager",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-massive-studio-prime/7919602271.html
"$2,495",0,1,N/A,nob hill,37.788864,-122.413594,"828 Jones St. #6, San Francisco, CA, 94108","40 pounds or less and no aggressive breeds ●Pet rent, $75 dog & $50 cat ●Pet Deposit",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-studio-amazing-location/7919609222.html
